customerID,Contract,tenure,tenure_bucket,PaymentMethod,InternetService,MonthlyCharges,service_count,churn,churn_probability,risk_segment,shap_explanation
7216-EWTRS,Month-to-month,1,0-6,Electronic check,Fiber optic,100.8,5,1,0.91602063,At-risk,"tenure (+risk, SHAP +0.81); Contract=Month-to-month (+risk, SHAP +0.66); MonthlyCharges (+risk, SHAP +0.45)"
5419-JPRRN,Month-to-month,1,0-6,Electronic check,Fiber optic,101.45,5,1,0.9039622,At-risk,"tenure (+risk, SHAP +0.80); Contract=Month-to-month (+risk, SHAP +0.66); MonthlyCharges (+risk, SHAP +0.46)"
9497-QCMMS,Month-to-month,1,0-6,Electronic check,Fiber optic,93.55,4,1,0.9018517,At-risk,"tenure (+risk, SHAP +0.81); Contract=Month-to-month (+risk, SHAP +0.66); TotalCharges (+risk, SHAP +0.30)"
9300-AGZNL,Month-to-month,1,0-6,Electronic check,Fiber optic,94.0,4,1,0.9018517,At-risk,"tenure (+risk, SHAP +0.81); Contract=Month-to-month (+risk, SHAP +0.66); TotalCharges (+risk, SHAP +0.30)"
5178-LMXOP,Month-to-month,1,0-6,Electronic check,Fiber optic,95.1,4,1,0.90019244,At-risk,"tenure (+risk, SHAP +0.81); Contract=Month-to-month (+risk, SHAP +0.66); TotalCharges (+risk, SHAP +0.30)"
0107-YHINA,Month-to-month,1,0-6,Electronic check,Fiber optic,99.75,5,1,0.8962702,At-risk,"tenure (+risk, SHAP +0.80); Contract=Month-to-month (+risk, SHAP +0.66); MonthlyCharges (+risk, SHAP +0.46)"
4910-GMJOT,Month-to-month,1,0-6,Electronic check,Fiber optic,94.6,4,1,0.8954702,At-risk,"tenure (+risk, SHAP +0.82); Contract=Month-to-month (+risk, SHAP +0.66); TotalCharges (+risk, SHAP +0.29)"
8149-RSOUN,Month-to-month,1,0-6,Electronic check,Fiber optic,93.85,4,1,0.8954702,At-risk,"tenure (+risk, SHAP +0.82); Contract=Month-to-month (+risk, SHAP +0.66); TotalCharges (+risk, SHAP +0.29)"
1069-XAIEM,Month-to-month,1,0-6,Electronic check,Fiber optic,85.05,3,1,0.8941649,At-risk,"tenure (+risk, SHAP +0.82); Contract=Month-to-month (+risk, SHAP +0.71); TotalCharges (+risk, SHAP +0.30)"
0295-PPHDO,Month-to-month,1,0-6,Electronic check,Fiber optic,95.45,4,1,0.8918808,At-risk,"tenure (+risk, SHAP +0.81); Contract=Month-to-month (+risk, SHAP +0.66); TotalCharges (+risk, SHAP +0.28)"
5192-EBGOV,Month-to-month,1,0-6,Electronic check,Fiber optic,85.7,3,1,0.889934,At-risk,"tenure (+risk, SHAP +0.81); Contract=Month-to-month (+risk, SHAP +0.71); TotalCharges (+risk, SHAP +0.30)"
3068-OMWZA,Month-to-month,1,0-6,Electronic check,Fiber optic,88.8,4,1,0.8882337,At-risk,"tenure (+risk, SHAP +0.81); Contract=Month-to-month (+risk, SHAP +0.71); TotalCharges (+risk, SHAP +0.30)"
4826-XTSOH,Month-to-month,1,0-6,Electronic check,Fiber optic,86.05,3,1,0.8877783,At-risk,"tenure (+risk, SHAP +0.81); Contract=Month-to-month (+risk, SHAP +0.71); TotalCharges (+risk, SHAP +0.30)"
9248-OJYKK,Month-to-month,1,0-6,Electronic check,Fiber optic,76.45,2,1,0.8811044,At-risk,"tenure (+risk, SHAP +0.81); Contract=Month-to-month (+risk, SHAP +0.71); TotalCharges (+risk, SHAP +0.32)"
9282-IZGQK,Month-to-month,1,0-6,Electronic check,Fiber optic,85.0,3,1,0.88042533,At-risk,"tenure (+risk, SHAP +0.82); Contract=Month-to-month (+risk, SHAP +0.71); TotalCharges (+risk, SHAP +0.28)"
8603-IJWDN,Month-to-month,1,0-6,Electronic check,Fiber optic,86.6,3,1,0.8801068,At-risk,"tenure (+risk, SHAP +0.82); Contract=Month-to-month (+risk, SHAP +0.71); TotalCharges (+risk, SHAP +0.28)"
6521-YYTYI,Month-to-month,1,0-6,Electronic check,Fiber optic,93.3,4,1,0.87827295,At-risk,"tenure (+risk, SHAP +0.81); Contract=Month-to-month (+risk, SHAP +0.70); TotalCharges (+risk, SHAP +0.28)"
4912-PIGUY,Month-to-month,1,0-6,Electronic check,Fiber optic,84.6,3,0,0.8770709,At-risk,"tenure (+risk, SHAP +0.81); Contract=Month-to-month (+risk, SHAP +0.71); TotalCharges (+risk, SHAP +0.28)"
8775-LHDJH,Month-to-month,1,0-6,Electronic check,Fiber optic,90.6,4,1,0.8750758,At-risk,"tenure (+risk, SHAP +0.81); Contract=Month-to-month (+risk, SHAP +0.71); TotalCharges (+risk, SHAP +0.29)"
6894-LFHLY,Month-to-month,1,0-6,Electronic check,Fiber optic,75.75,2,1,0.8748884,At-risk,"tenure (+risk, SHAP +0.80); Contract=Month-to-month (+risk, SHAP +0.71); TotalCharges (+risk, SHAP +0.32)"
4988-IQIGL,Month-to-month,1,0-6,Electronic check,Fiber optic,75.35,2,1,0.8728389,At-risk,"tenure (+risk, SHAP +0.80); Contract=Month-to-month (+risk, SHAP +0.71); TotalCharges (+risk, SHAP +0.32)"
3988-RQIXO,Month-to-month,1,0-6,Electronic check,Fiber optic,91.3,3,1,0.8701699,At-risk,"tenure (+risk, SHAP +0.83); Contract=Month-to-month (+risk, SHAP +0.71); TotalCharges (+risk, SHAP +0.32)"
0723-DRCLG,Month-to-month,1,0-6,Electronic check,Fiber optic,74.45,2,1,0.8690364,At-risk,"tenure (+risk, SHAP +0.79); Contract=Month-to-month (+risk, SHAP +0.71); TotalCharges (+risk, SHAP +0.33)"
5240-IJOQT,Month-to-month,1,0-6,Electronic check,Fiber optic,74.7,2,1,0.8685972,At-risk,"tenure (+risk, SHAP +0.79); Contract=Month-to-month (+risk, SHAP +0.71); TotalCharges (+risk, SHAP +0.32)"
3551-HUAZH,Month-to-month,1,0-6,Electronic check,Fiber optic,74.4,2,1,0.8685972,At-risk,"tenure (+risk, SHAP +0.79); Contract=Month-to-month (+risk, SHAP +0.71); TotalCharges (+risk, SHAP +0.32)"
1415-YFWLT,Month-to-month,1,0-6,Electronic check,Fiber optic,89.3,3,1,0.8683488,At-risk,"tenure (+risk, SHAP +0.83); Contract=Month-to-month (+risk, SHAP +0.71); TotalCharges (+risk, SHAP +0.32)"
