source_feature,mean_abs_shap
Contract,0.8637203
tenure,0.41621962
MonthlyCharges,0.24308068
OnlineSecurity,0.22755025
InternetService,0.21999596
TechSupport,0.17657174
PaymentMethod,0.16008183
PaperlessBilling,0.10941752
TotalCharges,0.10501753
MultipleLines,0.09331603
StreamingMovies,0.07536624
OnlineBackup,0.06214393
StreamingTV,0.052970193
SeniorCitizen,0.04346978
Dependents,0.024906155
tenure_bucket,0.017462732
PhoneService,0.016794577
gender,0.009836418
service_count,0.005522804
DeviceProtection,0.0048202276
monthly_charge_band,0.0029893825
automatic_payment,0.0017478401
Partner,0.0014759849
