month,at_risk,events,survival,cohort_dimension,cohort_value,cohort_size
0,3875,0,1.0,Contract,Month-to-month,3875
1,3875,380,0.9019354838709678,Contract,Month-to-month,3875
2,3271,121,0.868571315864735,Contract,Month-to-month,3875
3,3041,94,0.8417230081727636,Contract,Month-to-month,3875
4,2850,82,0.8175050128498981,Contract,Month-to-month,3875
5,2685,63,0.7983233309841462,Contract,Month-to-month,3875
6,2557,40,0.7858348940504872,Contract,Month-to-month,3875
7,2462,50,0.7698756151298843,Contract,Month-to-month,3875
8,2349,41,0.7564380245720618,Contract,Month-to-month,3875
9,2248,45,0.7412958043292937,Contract,Month-to-month,3875
10,2143,45,0.7257296301833216,Contract,Month-to-month,3875
11,2047,30,0.7150936316950463,Contract,Month-to-month,3875
12,1967,33,0.703096636348866,Contract,Month-to-month,3875
13,1881,37,0.6892664526460972,Contract,Month-to-month,3875
14,1798,23,0.6804493623174764,Contract,Month-to-month,3875
15,1742,37,0.6659966491109629,Contract,Month-to-month,3875
16,1663,28,0.6547832358968276,Contract,Month-to-month,3875
17,1597,24,0.6449430369854163,Contract,Month-to-month,3875
18,1540,22,0.6357295650284819,Contract,Month-to-month,3875
19,1463,16,0.6287769518771109,Contract,Month-to-month,3875
20,1411,18,0.6207557008963965,Contract,Month-to-month,3875
21,1357,15,0.6138939945489787,Contract,Month-to-month,3875
22,1313,23,0.6031403297548992,Contract,Month-to-month,3875
23,1249,12,0.5973455467628584,Contract,Month-to-month,3875
24,1202,23,0.5859154739046674,Contract,Month-to-month,3875
25,1144,18,0.576696524140433,Contract,Month-to-month,3875
26,1095,15,0.5687965717549476,Contract,Month-to-month,3875
27,1046,13,0.5617273983010141,Contract,Month-to-month,3875
28,1005,10,0.5561380709547354,Contract,Month-to-month,3875
29,971,15,0.5475468546166088,Contract,Month-to-month,3875
30,923,15,0.5386484766975956,Contract,Month-to-month,3875
31,880,14,0.5300790691137702,Contract,Month-to-month,3875
32,840,18,0.5187202319184752,Contract,Month-to-month,3875
33,794,8,0.5134938315968784,Contract,Month-to-month,3875
34,763,11,0.5060909061085879,Contract,Month-to-month,3875
35,723,12,0.4976910570445449,Contract,Month-to-month,3875
36,680,9,0.4911039695248377,Contract,Month-to-month,3875
37,658,14,0.48065494889664967,Contract,Month-to-month,3875
38,623,9,0.47371129794950706,Contract,Month-to-month,3875
39,596,9,0.4665579394234239,Contract,Month-to-month,3875
40,575,11,0.45763248319097577,Contract,Month-to-month,3875
41,541,10,0.4491734724111056,Contract,Month-to-month,3875
42,512,12,0.4386459691514703,Contract,Month-to-month,3875
43,481,11,0.4286145644515406,Contract,Month-to-month,3875
44,452,4,0.4248215152086066,Contract,Month-to-month,3875
45,432,3,0.4218713657974357,Contract,Month-to-month,3875
46,410,7,0.41466868394235756,Contract,Month-to-month,3875
47,384,13,0.4006304212047257,Contract,Month-to-month,3875
48,357,3,0.39726377900972804,Contract,Month-to-month,3875
49,342,10,0.38564787903868336,Contract,Month-to-month,3875
50,313,8,0.3757910642389726,Contract,Month-to-month,3875
51,294,6,0.3681218588463405,Contract,Month-to-month,3875
52,276,5,0.36145298459187786,Contract,Month-to-month,3875
53,252,6,0.3528469611492141,Contract,Month-to-month,3875
54,236,5,0.3453713899384257,Contract,Month-to-month,3875
55,219,6,0.335909160077099,Contract,Month-to-month,3875
56,195,3,0.3307413268451436,Contract,Month-to-month,3875
57,176,5,0.3213452664234066,Contract,Month-to-month,3875
58,156,4,0.3131056442074218,Contract,Month-to-month,3875
59,143,4,0.30434744436945194,Contract,Month-to-month,3875
60,127,3,0.29715813465993735,Contract,Month-to-month,3875
61,108,3,0.2889037420304946,Contract,Month-to-month,3875
62,94,1,0.28583029796634046,Contract,Month-to-month,3875
